# Game Session ID 
146 
### Session Start ### 
# Game ID 
0 
# Begin play Date and Time 
 7 / 5 / 2013    14:10:7 
# With Fead back 
 True  
# With Visible Trajectory 
 False  
### Game start ### 
 # Trajectory par ball 
 Ball 0                               	 Ball 1                               	 Ball 2                               	 Ball 3                               	 Ball 4                               	 Ball 5                               	 Ball 6                               	 Ball 7                               	
X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	
 -9.090000 21.017000 7.043469 	 -6.669998 21.017000 5.992604 	 -0.150000 21.017000 8.660185 	                    	                    	                    	                    	                    	
 -9.100000 20.922443 7.071169 	 -6.699998 20.922443 6.009242 	 -0.150000 20.922443 8.704903 	                    	                    	                    	                    	                    	
 -9.110000 20.827885 7.098669 	 -6.729998 20.827885 6.025680 	 -0.150000 20.827885 8.749420 	                    	                    	                    	                    	                    	
 -9.120000 20.733326 7.125968 	 -6.759998 20.733326 6.041918 	 -0.150000 20.733326 8.793738 	                    	                    	                    	                    	                    	
 -9.130000 20.638769 7.153068 	 -6.789998 20.638769 6.057956 	 -0.150000 20.638769 8.837855 	                    	                    	                    	                    	                    	
 -9.140000 20.544212 7.179967 	 -6.819998 20.544212 6.073793 	 -0.150000 20.544212 8.881773 	                    	                    	                    	                    	                    	
 -9.150000 20.449654 7.206667 	 -6.849998 20.449654 6.089432 	 -0.150000 20.449654 8.925491 	                    	                    	                    	                    	                    	
 -9.160000 20.355095 7.233167 	 -6.879998 20.355095 6.104869 	 -0.150000 20.355095 8.969009 	                    	                    	                    	                    	                    	
 -9.170000 20.260536 7.259467 	 -6.909998 20.260536 6.120108 	 -0.150000 20.260536 9.012327 	                    	                    	                    	                    	                    	
 -9.180000 20.165977 7.285566 	 -6.939998 20.165977 6.135146 	 -0.150000 20.165977 9.055445 	                    	                    	                    	                    	                    	
 -9.190000 20.071421 7.311466 	 -6.969998 20.071421 6.149983 	 -0.150000 20.071421 9.098362 	                    	                    	                    	                    	                    	
 -9.200000 19.976864 7.337166 	 -6.999998 19.976864 6.164621 	 -0.150000 19.976864 9.141080 	                    	                    	                    	                    	                    	
 -9.210000 19.882305 7.362666 	 -7.029998 19.882305 6.179060 	 -0.150000 19.882305 9.183598 	                    	                    	                    	                    	                    	
 -9.220000 19.787746 7.387965 	 -7.059998 19.787746 6.193297 	 -0.150000 19.787746 9.225916 	                    	                    	                    	                    	                    	
 -9.230000 19.693190 7.413065 	 -7.089998 19.693190 6.207335 	 -0.150000 19.693190 9.268033 	                    	                    	                    	                    	                    	
