# Game Session ID 
161 
### Session Start ### 
# Game ID 
0 
# Begin play Date and Time 
 7 / 5 / 2013    16:43:38 
# With Fead back 
 False  
# With Visible Trajectory 
 True  
### Game start ### 
 # Trajectory par ball 
 Ball 0                               	 Ball 1                               	 Ball 2                               	 Ball 3                               	 Ball 4                               	 Ball 5                               	 Ball 6                               	 Ball 7                               	 Ball 8                               	 Ball 9                               	
X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	
 -10.239997 16.026445 7.955457 	 -5.720001 16.026445 6.484246 	 -3.559997 16.026445 10.218859 	                    	                    	                    	                    	                    	                    	                    	
 -10.259996 15.921381 7.975557 	 -5.730000 15.921381 6.493284 	 -3.589997 15.921381 10.255977 	                    	                    	                    	                    	                    	                    	                    	
 -10.279997 15.816317 7.995457 	 -5.740001 15.816317 6.502122 	 -3.619997 15.816317 10.292894 	                    	                    	                    	                    	                    	                    	                    	
 -10.299996 15.711252 8.015157 	 -5.750000 15.711252 6.510760 	 -3.649997 15.711252 10.329613 	                    	                    	                    	                    	                    	                    	                    	
 -10.319997 15.606188 8.034657 	 -5.760001 15.606188 6.519198 	 -3.679997 15.606188 10.366130 	                    	                    	                    	                    	                    	                    	                    	
 -10.339996 15.501124 8.053956 	 -5.770000 15.501124 6.527436 	 -3.709997 15.501124 10.402448 	                    	                    	                    	                    	                    	                    	                    	
 -10.359997 15.396060 8.073055 	 -5.780001 15.396060 6.535474 	 -3.739997 15.396060 10.438565 	                    	                    	                    	                    	                    	                    	                    	
 -10.379996 15.290996 8.091955 	 -5.790000 15.290996 6.543312 	 -3.769997 15.290996 10.474483 	                    	                    	                    	                    	                    	                    	                    	
 -10.399997 15.185931 8.110655 	 -5.800001 15.185931 6.550950 	 -3.799997 15.185931 10.510201 	                    	                    	                    	                    	                    	                    	                    	
 -10.419996 15.080867 8.129154 	 -5.810000 15.080867 6.558387 	 -3.829997 15.080867 10.545719 	                    	                    	                    	                    	                    	                    	                    	
 -10.439997 14.975802 8.147454 	 -5.820001 14.975802 6.565626 	 -3.859997 14.975802 10.581037 	                    	                    	                    	                    	                    	                    	                    	
 -10.459996 14.870738 8.165554 	 -5.830000 14.870738 6.572663 	 -3.889997 14.870738 10.616155 	                    	                    	                    	                    	                    	                    	                    	
 -10.479997 14.765674 8.183454 	 -5.840001 14.765674 6.579501 	 -3.919997 14.765674 10.651073 	                    	                    	                    	                    	                    	                    	                    	
 -10.499996 14.660609 8.201154 	 -5.850000 14.660609 6.586139 	 -3.949997 14.660609 10.685790 	                    	                    	                    	                    	                    	                    	                    	
 -10.519997 14.555546 8.218653 	 -5.860001 14.555546 6.592577 	 -3.979997 14.555546 10.720307 	                    	                    	                    	                    	                    	                    	                    	
 -10.539996 14.450481 8.235953 	 -5.870000 14.450481 6.598815 	 -4.009997 14.450481 10.754625 	                    	                    	                    	                    	                    	                    	                    	
 -10.559997 14.345417 8.253053 	 -5.880001 14.345417 6.604853 	 -4.039997 14.345417 10.788743 	                    	                    	                    	                    	                    	                    	                    	
 -10.579996 14.240353 8.269952 	 -5.890000 14.240353 6.610691 	 -4.069997 14.240353 10.822660 	                    	                    	                    	                    	                    	                    	                    	
 -10.599997 14.135288 8.286652 	 -5.900001 14.135288 6.616329 	 -4.099997 14.135288 10.856379 	                    	                    	                    	                    	                    	                    	                    	
 -10.619996 14.030224 8.303151 	 -5.910000 14.030224 6.621767 	 -4.129997 14.030224 10.889896 	                    	                    	                    	                    	                    	                    	                    	
 -10.639997 13.925159 8.319451 	 -5.920001 13.925159 6.627005 	 -4.159997 13.925159 10.923214 	                    	                    	                    	                    	                    	                    	                    	
 -10.659996 13.820095 8.335551 	 -5.930000 13.820095 6.632043 	 -4.189997 13.820095 10.956332 	                    	                    	                    	                    	                    	                    	                    	
 -10.679996 13.715031 8.351451 	 -5.940001 13.715031 6.636881 	 -4.219996 13.715031 10.989249 	                    	                    	                    	                    	                    	                    	                    	
 -10.699996 13.609966 8.367150 	 -5.950000 13.609966 6.641519 	 -4.249997 13.609966 11.021968 	                    	                    	                    	                    	                    	                    	                    	
 -10.719996 13.504902 8.382650 	 -5.960001 13.504902 6.645957 	 -4.279996 13.504902 11.054485 	                    	                    	                    	                    	                    	                    	                    	
 -10.739996 13.399837 8.397950 	 -5.970000 13.399837 6.650195 	 -4.309997 13.399837 11.086803 	                    	                    	                    	                    	                    	                    	                    	
 -10.759996 13.294773 8.413050 	 -5.980000 13.294773 6.654233 	 -4.339996 13.294773 11.118920 	                    	                    	                    	                    	                    	                    	                    	
 -10.779996 13.189709 8.427949 	 -5.990000 13.189709 6.658071 	 -4.369997 13.189709 11.150838 	                    	                    	                    	                    	                    	                    	                    	
 -10.799996 13.084644 8.442649 	 -6.000000 13.084644 6.661709 	 -4.399996 13.084644 11.182556 	                    	                    	                    	                    	                    	                    	                    	
 -10.819996 12.979582 8.457149 	 -6.010000 12.979582 6.665147 	 -4.429996 12.979582 11.214074 	                    	                    	                    	                    	                    	                    	                    	
 -10.839996 12.874517 8.471448 	 -6.020000 12.874517 6.668385 	 -4.459996 12.874517 11.245392 	                    	                    	                    	                    	                    	                    	                    	
 -10.859996 12.769453 8.485548 	 -6.030000 12.769453 6.671423 	 -4.489996 12.769453 11.276509 	                    	                    	                    	                    	                    	                    	                    	
