# Game Session ID 
169 
### Session Start ### 
# Game ID 
0 
# Begin play Date and Time 
 7 / 5 / 2013    16:58:19 
# With Fead back 
 False  
# With Visible Trajectory 
 True  
### Game start ### 
 # Throw number 1 of 30
# Type of Balls 
 Ball 0 -> Good ball 
 Ball 1 -> Bad ball 
 Ball 2 -> Ok ball 
# Trajectory par ball 
 Ball 0                               	 Ball 1                               	 Ball 2                               	 Ball 3                               	 Ball 4                               	 Ball 5                               	 Ball 6                               	 Ball 7                               	 Ball 8                               	 Ball 9                               	
X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	
 -10.240001 20.754339 6.843971 	 -4.370000 20.754339 5.870538 	 -3.109998 20.754339 8.341560 	                    	                    	                    	                    	                    	                    	                    	
 -10.260001 20.649275 6.873071 	 -4.380000 20.649275 5.888576 	 -3.139998 20.649275 8.387678 	                    	                    	                    	                    	                    	                    	                    	
 -10.280001 20.544210 6.901971 	 -4.390000 20.544210 5.906414 	 -3.169998 20.544210 8.433597 	                    	                    	                    	                    	                    	                    	                    	
 -10.300001 20.439146 6.930670 	 -4.400000 20.439146 5.924052 	 -3.199998 20.439146 8.479314 	                    	                    	                    	                    	                    	                    	                    	
 -10.320001 20.334082 6.959170 	 -4.410000 20.334082 5.941490 	 -3.229998 20.334082 8.524832 	                    	                    	                    	                    	                    	                    	                    	
 -10.340001 20.229017 6.987470 	 -4.420000 20.229017 5.958728 	 -3.259998 20.229017 8.570149 	                    	                    	                    	                    	                    	                    	                    	
 -10.360001 20.123955 7.015570 	 -4.430000 20.123955 5.975766 	 -3.289998 20.123955 8.615267 	                    	                    	                    	                    	                    	                    	                    	
 -10.380001 20.018890 7.043469 	 -4.440000 20.018890 5.992604 	 -3.319998 20.018890 8.660185 	                    	                    	                    	                    	                    	                    	                    	
 -10.400001 19.913826 7.071169 	 -4.450000 19.913826 6.009242 	 -3.349998 19.913826 8.704903 	                    	                    	                    	                    	                    	                    	                    	
 -10.420001 19.808762 7.098669 	 -4.460000 19.808762 6.025680 	 -3.379998 19.808762 8.749420 	                    	                    	                    	                    	                    	                    	                    	
 -10.440001 19.703697 7.125968 	 -4.470000 19.703697 6.041918 	 -3.409998 19.703697 8.793738 	                    	                    	                    	                    	                    	                    	                    	
 -10.460001 19.598633 7.153068 	 -4.480000 19.598633 6.057956 	 -3.439998 19.598633 8.837855 	                    	                    	                    	                    	                    	                    	                    	
 -10.480000 19.493568 7.179967 	 -4.490000 19.493568 6.073793 	 -3.469998 19.493568 8.881773 	                    	                    	                    	                    	                    	                    	                    	
 -10.500001 19.388504 7.206667 	 -4.500000 19.388504 6.089432 	 -3.499998 19.388504 8.925491 	                    	                    	                    	                    	                    	                    	                    	
 -10.520000 19.283440 7.233167 	 -4.510000 19.283440 6.104869 	 -3.529998 19.283440 8.969009 	                    	                    	                    	                    	                    	                    	                    	
 -10.540001 19.178375 7.259467 	 -4.520000 19.178375 6.120108 	 -3.559998 19.178375 9.012327 	                    	                    	                    	                    	                    	                    	                    	
 -10.560000 19.073311 7.285566 	 -4.530000 19.073311 6.135146 	 -3.589998 19.073311 9.055445 	                    	                    	                    	                    	                    	                    	                    	
 -10.580001 18.968246 7.311466 	 -4.540000 18.968246 6.149983 	 -3.619998 18.968246 9.098362 	                    	                    	                    	                    	                    	                    	                    	
 -10.600000 18.863182 7.337166 	 -4.550000 18.863182 6.164621 	 -3.649998 18.863182 9.141080 	                    	                    	                    	                    	                    	                    	                    	
 -10.620001 18.758118 7.362666 	 -4.560000 18.758118 6.179060 	 -3.679998 18.758118 9.183598 	                    	                    	                    	                    	                    	                    	                    	
 -10.640000 18.653053 7.387965 	 -4.570000 18.653053 6.193297 	 -3.709998 18.653053 9.225916 	                    	                    	                    	                    	                    	                    	                    	
 -10.660001 18.547989 7.413065 	 -4.580000 18.547989 6.207335 	 -3.739998 18.547989 9.268033 	                    	                    	                    	                    	                    	                    	                    	
